student name, father name, contact number, mother name, contact number
Ho Rong Yu, Uncle Ho, 124568329, Auntie Teo , 142531121
Heong Seng Hin, Uncle Heong, 124447752, Auntie Heong, 159932652
Fan Cheng Xuan, Uncle Fan, 124567859, Auntie Fan, 135624256
Madanish, Pak Cik Mada, 124445855, Mak Cik Mada, 148523695
Foo Chuan Pin, Uncle Foo, 125698444, Auntie Foo, 135562232
Yeap Kim Leng, Uncle Yeap, 159648547, Auntie Yeap, 124563987
Lim Chiew Li, Uncle Lim, 129658234, Auntie Lim, 124758246
Chia Syn Min, Uncle Chia, 148526548, Auntie Chia, 147586248
Yap Shin Yu, Uncle Yap, 148524857, Auntie Yap, 185234568
Ang Jia Er, Uncle Ang , 124578369, Auntie Ang, 147582463
Chau Zong Ze, Uncle Chau, 196325417, Auntie Chau, 185472145
Ali, Uncle Ali, 196325416, Auntie Ali, 156234852
Ahmad, Uncle Ahmad, 197423651, Auntie Ahmad, 157485963
Muthu, Uncle Muthu, 196325477, Auntie Muthu, 174253681
